,Restaurant #,Restaurant Name,VP OPS,Area Manager,Restaurant Phone,Address,City,State,Zip Code,General Manager,lat,lon
0,3006,Weymouth Dual,Abe Viveiros/DOO,Ron Walker,781-340-3385,"Riverway Plaza, Weymouth, MA, Weymouth, MA, Weymouth, MA, Weymouth, MA, Weymouth, MA",Weymouth,MA,2191,Open,42.2445586,-70.9364379
1,3009,Somerset Dual,Abe Viveiros/DOO,Jeff Morin,508-324-0826,"Somerset Plaza, Rt. 6, Somerset, MA, Somerset, MA, Somerset, MA, Somerset, MA, Somerset, MA",Somerset,MA,2725,Jessica Fortin,41.734643,-71.15232
2,3502,Westboro Mass Pike West,Todd Wade,Sandy Haalck,508-366-8792,"Mile Post 105; Mass Turnpike W., Westboro, MA, Westboro, MA, Westboro, MA, Westboro, MA, Westboro, MA",Westboro,MA,1581,Open,42.192901,-71.817684
3,3503,Charlton Mass Pike East,Todd Wade,Sandy Haalck,508-248-1061,"Mile Post 81; Mass Turnpike E., Charlton, MA, Charlton, MA, Charlton, MA, Charlton, MA, Charlton, MA",Charlton,MA,1507,Alicia Bishop,42.055113,-71.887896
4,3504,Charlton Mass Pike West,Todd Wade,Sandy Haalck,508-248-5216,"Mile Post 89; Mass Turnpike W., Charlton City, MA, Charlton City, MA, Charlton City, MA, Charlton City, MA, Charlton City, MA",Charlton City,MA,1508,Michael Saari,42.101497,-72.018247
5,3505,Natick Travel Plaza (Mass Pike),Todd Wade,Steve Corso,508-655-2958,"Mile Post 117, Natick, MA, Natick, MA, Natick, MA, Natick, MA, Natick, MA",Natick,MA,1760,Open,42.28343,-71.3495
6,5018,Wethersfield,Jim Croteau,Donna Brunton,860-529-2918,"1345 Silas Deane Hwy., Rt 99, Wethersfield, CT, Wethersfield, CT, Wethersfield, CT, Wethersfield, CT, Wethersfield, CT",Wethersfield,CT,6109,Cody Peters,41.683422,-72.654394
7,5019,Keene,Jim Croteau,Rudy Byram,603-357-0401,"189 West St., Keene, NH, Keene, NH, Keene, NH, Keene, NH, Keene, NH",Keene,NH,3431,Melissa Washer,42.932528,-72.285559
8,5021,Cranston,Jim Croteau,Jim Poirier,401-944-4730,"875 Reservoir Ave., Rt. 2, Cranston, RI, Cranston, RI, Cranston, RI, Cranston, RI, Cranston, RI",Cranston,RI,2910,Open,41.777138,-71.446908
9,5022,Southington,Jim Croteau,Donna Brunton,860-628-6607,"641 Queen St., Rt. 10, Southington, CT, Southington, CT, Southington, CT, Southington, CT, Southington, CT",Southington,CT,6489,Sharon Hirt,41.591073,-72.874904
10,5029,Coventry,Jim Croteau,Jim Poirier,401-821-9760,"795 Tiogue Ave., Rt. 3, Coventry, RI, Coventry, RI, Coventry, RI, Coventry, RI, Coventry, RI",Coventry,RI,2816,Kimberly Hodges,41.681748,-71.564256
11,5034,W. Warwick,Jim Croteau,Jim Poirier,401-823-0013,"1199 Main St., W. Warwick, RI, W. Warwick, RI, W. Warwick, RI, W. Warwick, RI, W. Warwick, RI",W. Warwick,RI,2893,Open,41.70783,-71.52267
12,5044,"Brockton, Pleasant St.",Jim Croteau,Meg Nelson,508-427-9395,"648 Pleasant St., Rt. 27, Brockton, MA, Brockton, MA, Brockton, MA, Brockton, MA, Brockton, MA",Brockton,MA,2301,Phil Medeiros,42.592528,-71.017158
13,5048,"Concord, S. Main St.",Jim Croteau,Rudy Byram,603-225-4363,"125 S. Main St. ,Rt. 3, Concord, NH, Concord, NH, Concord, NH, Concord, NH, Concord, NH",Concord,NH,3301,Roger Stock,43.198346,-71.531525
14,5050,Falmouth,Jim Croteau,Dilyan Petrov,508-548-8980,"689 Main St. Rt. 28, Falmouth, MA, Falmouth, MA, Falmouth, MA, Falmouth, MA, Falmouth, MA",Falmouth,MA,2540,Leanne Wiseman-Simonelli,41.552521,-70.605629
15,5052,"Fall River, N. Main St.",Jim Croteau,Dilyan Petrov,508-677-2322,"1040 N. Main St., Rt. 6, Fall River, MA, Fall River, MA, Fall River, MA, Fall River, MA, Fall River, MA",Fall River,MA,2720,Lynn Medeiros,41.716056,-71.150985
16,5054,"Fall River, Canning Blvd.",Jim Croteau,Dilyan Petrov,508-674-8760,"16 Canning Blvd., Rt. 81, Fall River, MA, Fall River, MA, Fall River, MA, Fall River, MA, Fall River, MA",Fall River,MA,2721,Rebecca Gifford,41.683469,-71.164108
17,5056,"Fall River, Plymouth Ave.",Jim Croteau,Dilyan Petrov,508-672-9537,"10 Plymouth Ave., Fall River, MA, Fall River, MA, Fall River, MA, Fall River, MA, Fall River, MA",Fall River,MA,2721,Melanie Rego,41.6983686,-71.1463038
18,5062,Raynham,Jim Croteau,Dilyan Petrov,508-823-5191,"600 South St. E., Rt. 44, Raynham, MA, Raynham, MA, Raynham, MA, Raynham, MA, Raynham, MA",Raynham,MA,2767,Shayna Fuller,41.906376,-71.042248
19,5063,Rockland,Jim Croteau,Meg Nelson,781-878-1030,"144 Market St., Rt. 139, Rockland, MA, Rockland, MA, Rockland, MA, Rockland, MA, Rockland, MA",Rockland,MA,2370,Meghan Nee,42.13066,-70.91616
20,5087,Portsmouth,Jim Croteau,Rudy Byram,603-431-9808,"1955 Woodbury Ave., Portsmouth, NH, Portsmouth, NH, Portsmouth, NH, Portsmouth, NH, Portsmouth, NH",Portsmouth,NH,3801,Penney Lewis,43.093561,-70.793838
21,5090,"Warwick, Warwick Ave.",Jim Croteau,Jim Poirier,401-732-0478,"1565 Warwick Ave., Warwick, RI, Warwick, RI, Warwick, RI, Warwick, RI, Warwick, RI",Warwick,RI,2889,Jill D'Andrea,41.7344562,-71.4075189
22,5105,Woburn,Jim Croteau,Crystal Miele,781-938-8898,"301 Mishawum Rd., Woburn, MA, Woburn, MA, Woburn, MA, Woburn, MA, Woburn, MA",Woburn,MA,1801,Jose Calderon,42.503657,-71.1329668
23,5123,"Concord, Loudon Rd.",Jim Croteau,Rudy Byram,603-224-5088,"126 Loundon Rd., Concord, NH, Concord, NH, Concord, NH, Concord, NH, Concord, NH",Concord,NH,3301,Open,43.212602,-71.547001
24,5125,N. Kingstown,Jim Croteau,Jim Poirier,401-885-4528,"6857 Post Rd., Rt. 1, N. Kingstown, RI, N. Kingstown, RI, N. Kingstown, RI, N. Kingstown, RI, N. Kingstown, RI",N. Kingstown,RI,2852,Open,41.48215,-71.536411
25,5139,Pawtucket,Jim Croteau,Jim Poirier,401-727-1404,"216 Broadway, Pawtucket, RI, Pawtucket, RI, Pawtucket, RI, Pawtucket, RI, Pawtucket, RI",Pawtucket,RI,2860,Teresa Comerford,41.879913,-71.378801
26,5144,"Warwick, Lambert Hwy.",Jim Croteau,Jim Poirier,401-732-6040,"80 Lambert Lind Hwy., Warwick, RI, Warwick, RI, Warwick, RI, Warwick, RI, Warwick, RI",Warwick,RI,2886,Open,41.7285947,-71.4764814
27,5151,Enfield,Jim Croteau,Donna Brunton,860-741-3719,"12 Hazard Ave., Rt. 190, Enfield, CT, Enfield, CT, Enfield, CT, Enfield, CT, Enfield, CT",Enfield,CT,6082,Richard Semeniuk,41.958835,-72.60046
28,5169,Marlboro,Jim Croteau,Meg Nelson,508-485-8579,"286 W. Main Rd., Rt. 20, Marlboro, MA, Marlboro, MA, Marlboro, MA, Marlboro, MA, Marlboro, MA",Marlboro,MA,1752,Halil Okan,42.733999,-71.0113
