,INSTNM,ZIP,CITY,STABBR,LATITUDE,LONGITUDE
0,Hult International Business School,02141-1805,Cambridge,MA,42.369968,-71.070645
1,New England College of Business and Finance,2110,Boston,MA,42.353619,-71.056671
2,Assumption College,01609-1296,Worcester,MA,42.294226,-71.828991
3,Bancroft School of Massage Therapy,1604,Worcester,MA,42.268972999999995,-71.778113
4,Bay State College,2116,Boston,MA,42.35176,-71.076991
5,Bay State School of Technology,02021-2358,Canton,MA,42.179505999999996,-71.114231
6,Becker College,01609-2165,Worcester,MA,42.269171,-71.811894
7,Bentley University,02452-4705,Waltham,MA,42.385995,-71.22283900000001
8,Berklee College of Music,2215,Boston,MA,42.346646,-71.089405
9,Empire Beauty School-Boston,2111,Boston,MA,42.354683,-71.062722
10,Boston Architectural College,02115-2703,Boston,MA,42.348467,-71.085786
11,Boston University,2215,Boston,MA,42.351118,-71.10794200000001
12,Bridgewater State University,2325,Bridgewater,MA,41.98749,-70.974553
13,Bristol Community College,02720-7395,Fall River,MA,41.721994,-71.11913299999999
14,Signature Healthcare Brockton Hospital School of Nursing,02302-1905,Brockton,MA,42.08736,-70.991415
15,Bunker Hill Community College,02129-2925,Boston,MA,42.374806,-71.069263
16,Cambridge College,2129,Boston,MA,42.381091,-71.07264599999999
17,Catherine Hinds Institute of Esthetics,01801-6819,Woburn,MA,42.493212,-71.13715
18,Laboure College,2186,Milton,MA,42.260866,-71.058279
19,Lincoln Technical Institute-Somerville,2145,Somerville,MA,42.390826000000004,-71.082082
20,Diman Regional Technical Institute,2723,Fall River,MA,41.699857,-71.124742
21,Eastern Nazarene College,02170-2999,Quincy,MA,42.271228,-71.01107900000001
22,Emerson College,02116-4624,Boston,MA,42.352202,-71.065384
23,Rob Roy Academy-Fall River,02720-3445,Fall River,MA,41.698904999999996,-71.157664
24,Fisher College,2116,Boston,MA,42.355253000000005,-71.074125
25,Framingham State University,01701-9101,Framingham,MA,42.297115999999995,-71.437565
26,Benjamin Franklin Institute of Technology,2116,Boston,MA,42.346022999999995,-71.070231
27,College of the Holy Cross,01610-2395,Worcester,MA,42.23752,-71.808214
28,Mansfield Beauty Schools-Quincy,2169,Quincy,MA,42.244852,-71.003129
29,University of Massachusetts-Boston,02125-3393,Boston,MA,42.312881,-71.036865
30,Massachusetts Institute of Technology,02139-4307,Cambridge,MA,42.359243,-71.093226
31,University of Massachusetts Medical School Worcester,1655,Worcester,MA,42.278002,-71.76214399999999
32,Massachusetts School of Barbering,2169,Quincy,MA,42.247457,-71.001891
33,Massasoit Community College,02302-3996,Brockton,MA,42.075070000000004,-70.989799
34,MGH Institute of Health Professions,02129-4557,Boston,MA,42.375018,-71.054002
35,Mount Wachusett Community College,01440-1000,Gardner,MA,42.593142,-71.984148
36,Rob Roy Academy-New Bedford,02720-3445,New Bedford,MA,41.671921000000005,-70.925187
37,The New England Conservatory of Music,02115-5018,Boston,MA,42.340946,-71.08629
38,New England College of Optometry,2115,Boston,MA,42.351853000000006,-71.08682900000001
39,New England Law-Boston,2116,Boston,MA,42.350833,-71.0665
40,New England School of Photography,2453,Waltham,MA,42.371534000000004,-71.23665
41,North Bennet Street School,2109,Boston,MA,42.362790000000004,-71.05452
42,Northeastern University,02115-5005,Boston,MA,42.339991999999995,-71.088782
43,Quincy College,2169,Quincy,MA,42.252416,-71.003476
44,Quinsigamond Community College,01606-2092,Worcester,MA,42.313790000000004,-71.79503000000001
45,Southeastern Technical Institute,2375,South Easton,MA,42.010312,-71.081227
46,Stonehill College,02357-6110,Easton,MA,42.05905,-71.080632
47,Suffolk University,02108-3901,Boston,MA,42.357945,-71.060917
48,Rob Roy Academy-Taunton,02780-5339,Taunton,MA,41.901945,-71.091966
49,Wellesley College,02481-8203,Wellesley,MA,42.291554,-71.306605
50,Western New England University,01119-2684,Springfield,MA,42.115017,-72.520466
51,Wheelock College,2215,Boston,MA,42.349707,-71.100868
52,Worcester Polytechnic Institute,01609-2280,Worcester,MA,42.274853,-71.808339
53,Blue Hills Regional Technical School,2021,Canton,MA,42.18221,-71.10408100000001
54,Rob Roy Academy-Worcester,1609,Worcester,MA,42.263673,-71.807728
55,Ailano School of Cosmetology,02301-5734,Brockton,MA,42.071117,-71.04348399999999
56,Lincoln Technical Institute-Brockton,02301-1818,Brockton,MA,42.097151000000004,-71.054643
57,Urban College of Boston,2116,Boston,MA,42.352922,-71.0642
58,Jolie Hair and Beauty Academy-Ludlow,1056,Ludlow,MA,42.157816,-72.480436
59,Massachusetts General Hospital Dietetic Internship,02114-2696,Boston,MA,42.362612,-71.068939
60,Toni & Guy Hairdressing Academy-Worcester,01605-2213,Worcester,MA,42.284822,-71.808255
61,FINE Mortuary College,2062,Norwood,MA,42.181478999999996,-71.19293
62,Branford Hall Career Institute-Springfield Campus,1104,Springfield,MA,42.146719,-72.52655899999999
63,University of Phoenix-Massachusetts,02184-1744,Braintree,MA,42.22735,-71.032616
64,National Graduate School of Quality Management,02540-2958,Falmouth,MA,41.561834000000005,-70.613737
65,Empire Beauty School-Framingham,1702,Framingham,MA,42.297803,-71.42219899999999
66,Spa Tech Institute-Westboro,1581,Westborough,MA,42.285984,-71.63568599999999
67,Universal Technical Institute of Massachusetts Inc,2062,Norwood,MA,42.209969,-71.202405
68,Salter School-Fall River,2720,Fall River,MA,41.69847,-71.153315
69,Millennium Training Institute,1801,Woburn,MA,42.495678000000005,-71.12749000000001
70,Salter College-Chicopee,01020-3744,Chicopee,MA,42.16137,-72.527413
71,Northeastern University Lifelong Learning Network,2115,Boston,MA,42.339477,-71.087841
72,Jupiter Beauty Academy,02122-2834,Boston,MA,42.305343,-71.057468
73,American Academy of Personal Training-Boston Campus,02116-3631,Boston,MA,42.350664,-71.076196
77,Empire Beauty School-Laconia,3246,Laconia,NH,43.527157,-71.469612
78,University of New Hampshire-School of Law,03301-4197,Concord,NH,43.207371,-71.545152
79,University of New Hampshire at Manchester,03101-1113,Manchester,NH,42.987209,-71.468755
80,NHTI-Concord's Community College,03301-7412,Concord,NH,43.223621,-71.531979
81,Granite State College,03301-3471,Concord,NH,43.19291,-71.527241
82,New Hampshire Institute of Art,03104-4858,Manchester,NH,42.992953,-71.458947
83,Seacoast Career School-Manchester Campus,3101,Manchester,NH,42.997766,-71.468777
84,Salter School of Nursing and Allied Health,3103,Manchester,NH,42.997765,-71.468655
