Store,Univ,Restaurant Name,INSTNM,Distance
0,86,Derry,Lincoln Technical Institute-Lowell,9.620209044609462
1,73,Rockingham,EINE Inc,5.98511430722395
2,113,Gilford,Lakes Region Community College,2.812440177786468
3,107,"Rochester, NH (Lilac)",Empire Beauty School-Somersworth,10.910740702843475
4,117,Concord,Granite State College,2.031957317359339
5,107,Seabrook,Empire Beauty School-Somersworth,13.010930249851521
6,20,Plaistow,Cape Cod Community College,7783.502417862198
7,107,Dover,Empire Beauty School-Somersworth,0.5514853900305179
8,123,Merrimack,Harmony Health Care Institute,1.5396136170096195
9,86,Londonderry,Lincoln Technical Institute-Lowell,9.356710895824984
10,109,"Manchester, Maple Tree",Southern New Hampshire University,0.8622479463979212
11,105,"Hudson, NH",Continental Academie of Hair Design-Hudson,0.22966917455828287
12,95,Lincoln,Tri County Regional Vocational Technical High School,8.29685344871619
13,95,Woonsocket,Tri County Regional Vocational Technical High School,6.481932706724452
14,75,E. Providence,Motoring Technical Training Institute,1.808539825690126
15,75,Warren,Motoring Technical Training Institute,7.451609175899689
16,95,W. Warwick,Tri County Regional Vocational Technical High School,17.33800942597697
17,95,Smithfield,Tri County Regional Vocational Technical High School,14.45823366232714
18,0,Mansfield,Eastern Connecticut State University,1.9973457553209428
19,23,Hyde Park,Curry College,0.9901071211233629
20,92,"Foxboro, Rt. 140",Universal Technical Institute of Massachusetts Inc,7.2265781541919445
21,43,Braintree,Massachusetts School of Barbering,2.5282454150657494
22,15,Norwell,Bridgewater State University,12.125831894271448
23,75,S. Attleboro,Motoring Technical Training Institute,5.894607011786379
24,25,"Franklin, E. Central St.",Dean College,1.3606561851602827
25,89,Framingham,Empire Beauty School-Framingham,2.3717323863653923
26,46,Gardner,Mount Wachusett Community College,1.2603758897326254
27,73,Tewksbury,EINE Inc,1.700847444884609
28,17,"Brockton, Crescent St.",Signature Healthcare Brockton Hospital School of Nursing,0.26132759479722745
29,41,Wareham,Massachusetts Maritime Academy,4.72482476922462
30,78,Pittsfield,Mildred Elley-Pittsfield Campus,5.716644195065759
31,63,Raynham,Rob Roy Academy-Taunton,4.683930905702079
32,15,Hanover,Bridgewater State University,15.493326496488026
33,91,"Plymouth, Samoset St.",Spa Tech Institute-Plymouth,3.6012638467227895
34,18,Charlestown,Bunker Hill Community College,0.45780133780206617
35,86,Chelmsford,Lincoln Technical Institute-Lowell,3.606694727778382
36,90,Westboro,Spa Tech Institute-Westboro,2.113826839229825
37,91,Kingston,Spa Tech Institute-Plymouth,3.9326440873000807
